,Toh Numbers,,ཆོས་ཚན།,,མཆན།,མཚན་བྱང་རྐྱང་པ།,Taiwan Tengyur Calculator,ཀུན་གསལ་མེ་ལོང་།,,རབ་བརྟན་གྱི་མཆན།,དབུ།,First Images,རྒྱབ་འདུན།,དབུ་ཤོག་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,,,,,
,T4395,1-127 སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།.txt,1-127 སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།_conc-corrected.txt,,,སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ,༤༣༩༥་རྒྱུད་ཉོ,སྣ་ཚོགས། ཉོ། 16,4395,,325,,b,6,7,326,b,7,7,7,,,,,
,T4410,1-128 བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།a.txt,1-128 བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།a_conc-corrected.txt,,,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,༣༧༨༥་རྒྱུད་ཚུ,སྣ་ཚོགས། ཉོ། 16,3785,,347,,a,7,7,349,a,3,7,7,,,,,
,T4411,1-129 བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།b.txt,1-129 བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།b_conc-corrected.txt,,,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,༣༧༨༥་རྒྱུད་ཚུ,སྣ་ཚོགས། ཉོ། 16,3785,,346,,a,5,7,347,a,7,7,7,,,,,
,T4435,1-130 འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།.txt,1-130 འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།_conc-corrected.txt,,མཚན་བྱང་ཆད་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ,༤༤༣༥་སྣ་ཚོགས་ནོ,སྣ་ཚོགས། ནོ། 20,4435,,286,,b,5,7,294,a,6,7,7,,,,,
,T2373,1-139 ཀླུ་སྒྲུབ་ཀྱི་གླུ།.txt,1-139 ཀླུ་སྒྲུབ་ཀྱི་གླུ།_conc-corrected.txt,,,ཀླུ་སྒྲུབ་ཀྱི་གླུ,༢༣༧༣་རྒྱུད་ཟི,རྒྱུད། ཟི། 27,2373,,10,http://iiif.bdrc.io/bdr:V23703_I1369::13690021.tif/full/full/0/default.jpg,a,3,7,10,a,6,7,7,,,,,
,T2480,1-140 ལྟུང་པ་བཅོ་ལྔ་པ།.txt,1-140 ལྟུང་པ་བཅོ་ལྔ་པ།_conc.txt,,,ལྟུང་པ་བཅོ་ལྔ་པ,རྒྱུད་ཟི,རྒྱུད། ཟི། 27,2480,,180,http://iiif.bdrc.io/bdr:V23703_I1369::13690361.tif/full/full/0/default.jpg,a,3,7,180,a,6,7,7,,,,,
,T2481,1-141 ཡན་ལག་གི་ཉེས་པ་བདུན་པ།.txt,1-141 ཡན་ལག་གི་ཉེས་པ་བདུན་པ།_conc-corrected.txt,,དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག,ཡན་ལག་གི་ཉེས་པ་བདུན་པ,༢༤༨༡་རྒྱུད་ཟི,རྒྱུད། ཟི། 27,2481,,180,http://iiif.bdrc.io/bdr:V23703_I1369::13690361.tif/full/full/0/default.jpg,a,6,7,180,a,7,7,7,,,,,
,T3645,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།.txt,1-142 ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།_conc-corrected.txt,,,ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས,༣༦༤༥་རྒྱུད་མུ,རྒྱུད། མུ། 40,3645,,257,http://iiif.bdrc.io/bdr:V23703_I1393::13930516.tif/full/full/0/default.jpg,b,3,7,259,a,6,7,7,,,,,
,T3664,1-143 སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt,1-143 སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt,,,སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས,༣༤༦༤་རྒྱུད་མུ,རྒྱུད། མུ། 40,3464,,267,http://iiif.bdrc.io/bdr:V23703_I1393::13930536.tif/full/full/0/default.jpg,b,3,7,268,b,3,7,7,,,,,
,T3769,1-145 རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག.txt,1-145 རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག_conc.txt,,,རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག,༣༧༦༩་རྒྱུད་ཚུ,རྒྱུད། ཚུ 41,3769,,130,http://iiif.bdrc.io/bdr:V23703_I1395::13950262.tif/full/full/0/default.jpg,b,3,7,160,b,2,7,7,,,,,
,T3829,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།.txt,1-146 དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།_conc-corrected.txt,,,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད,༣༨༢༩་དབུ་མ་ཙ,དབུ་མ། ཙ 57,3829,,29,http://iiif.bdrc.io/bdr:V23703_I1412::14120060.tif/full/full/0/default.jpg,b,1,7,99,a,7,7,7,,,,,
,T3839,1-147 སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད།.txt,1-147 སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད།_conc-corrected.txt,,,སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད,༣༨༣༩་དབུ་མ་ཙ,དབུ་མ། ཙ། 57,3839,,150,http://iiif.bdrc.io/bdr:V23703_I1412::14120301.tif/full/full/0/default.jpg,a,4,7,151,a,1,7,7,,,,,
